                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68114,                 0.6486,                 1.1113,                0.92664,                0.82497,                0.90175,                 0.6798,                0.95327,                0.69122,                 1.3881,             0.00029706,             0.00029706,             0.00029706
                     36,                0.66594,                0.61173,                 1.1122,                0.87271,                0.81229,                0.90035,                0.68607,                0.91895,                0.67524,                 1.3605,             0.00027906,             0.00027906,             0.00027906
                     37,                0.68483,                0.62052,                 1.1058,                0.83825,                0.82726,                0.87206,                0.66167,                0.91565,                0.70067,                 1.3432,             0.00026106,             0.00026106,             0.00026106
                     38,                0.63645,                0.59459,                 1.0868,                0.87613,                 0.7741,                0.87647,                0.67207,                0.93845,                0.71776,                 1.3683,             0.00024307,             0.00024307,             0.00024307
                     39,                 0.6457,                 0.6015,                 1.0902,                0.87074,                0.80765,                0.88949,                0.66112,                0.95352,                0.67242,                 1.3836,             0.00022507,             0.00022507,             0.00022507
                     40,                0.62859,                0.57324,                 1.0853,                0.88527,                0.81924,                 0.9027,                0.67492,                0.94382,                0.66189,                  1.354,             0.00020707,             0.00020707,             0.00020707
                     41,                0.61321,                0.68919,                 1.0991,                0.84032,                0.84743,                0.88008,                0.64648,                 1.0314,                0.76124,                 1.4441,             0.00018907,             0.00018907,             0.00018907
                     42,                0.56417,                0.59069,                  1.075,                0.88458,                0.80938,                 0.8996,                0.67239,                0.94619,                0.70285,                 1.3729,             0.00017107,             0.00017107,             0.00017107
                     43,                0.55009,                0.54371,                 1.0528,                0.89223,                0.85991,                0.91121,                0.68241,                0.95573,                0.65698,                 1.3459,             0.00015308,             0.00015308,             0.00015308
                     44,                 0.5403,                 0.5039,                 1.0421,                 0.8694,                0.88126,                0.91404,                0.69142,                0.93805,                0.63982,                 1.3566,             0.00013508,             0.00013508,             0.00013508
                     45,                0.51097,                0.50258,                 1.0217,                0.90452,                0.84796,                 0.9149,                0.69128,                0.92745,                0.64898,                 1.3461,             0.00011708,             0.00011708,             0.00011708
                     46,                0.50464,                0.48021,                 1.0125,                0.87505,                0.87278,                0.90878,                0.68238,                0.92853,                0.64177,                 1.3683,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.47712,                 0.4737,                 1.0062,                0.88841,                 0.8641,                0.91699,                0.69621,                0.90612,                0.60204,                 1.3426,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.47001,                0.44397,                0.97891,                0.89216,                0.87019,                0.91693,                0.69004,                 0.8956,                0.59625,                 1.3325,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.47586,                 0.4556,                0.99727,                0.88738,                0.87331,                0.91752,                 0.6946,                0.89054,                0.59599,                 1.3326,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                 0.4516,                 0.4527,                  0.983,                0.85453,                 0.8781,                 0.9101,                 0.6895,                0.89488,                0.59964,                 1.3361,             2.7088e-05,             2.7088e-05,             2.7088e-05
